C	Kpa	kg/m^3	kg/m^3	kJ/kg	kJ/kg	kJ/kg	kJ/kgK	kJ/kgK	mNs/M^2	mNs/m^2	mW/mK	mW/mk	mN/m
-90.82	-87.73	1222.8	-2.613	-474	-96.8	377	1.747	-0.7999	-0.4619	-9.4	-146.9	-8.2	24
-90	-92.29	1220.6	-2.738	-473	-96.3	377	1.75	-0.7997	-0.4507	-9.5	-146.4	-8.3	23.8
-88.46	101.325	1216.3	-2.987	-470	-95.4	375	1.756	-0.7996	-0.4306	-9.6	-145.6	-8.4	-23.5
-85	124.2	1206.7	-3.609	-464	-93.3	371	1.768	-0.8009	-0.39	-9.7	-143.8	-8.7	-22.7
-80	164.2	1192.7	-4.68	-455	-90.4	365	-1.781	-0.8063	-0.3404	-10	-141.2	-9.1	-21.6
-75	213.6	1178.3	-5.982	-446	-87.6	359	-1.791	-0.816	-0.2995	-10.2	-138.6	-9.6	-20.5
-70	273.6	1163.7	-7.546	-438	-85	353	-1.798	-0.83	-0.2654	-10.5	-136	-10	-19.4
-65	345.7	1148.8	-9.406	-429	-82.5	346	-1.803	-0.8485	-0.2367	-10.8	-133.5	-10.5	-18.3
-60	431.5	1133.6	-11.6	-420	-80.2	340	-1.807	-0.8716	-0.2123	-11	-131	-11	-17.2
-55	532.3	1118	-14.16	-411	-78.1	333	-1.812	-0.8995	-0.1915	-11.3	-128.5	-11.5	-16.2
-50	649.9	1102	-17.14	-402	-76.1	326	-1.818	-0.9322	-0.1736	-11.6	-126	-12	15.1
-45	785.8	1085.6	-20.58	-392	-74.4	318	-1.827	-0.97	-0.158	-11.9	-123.6	-12.6	14.1
-40	941.7	1068.8	-24.53	-383	-72.9	310	-1.84	-1.013	-0.1444	-12.2	-121.2	-13.2	13.1
-35	1119	1051.4	-29.05	-374	-71.6	302	-1.858	-1.061	-0.1325	-12.5	-118.8	-13.8	12
-30	1321	1033.4	34.22	-364	-70.5	294	-1.883	-1.115	-0.1219	-12.8	-116.4	-14.4	11
-25	1547	1014.8	40.11	-355	-69.8	285	-1.915	-1.176	-0.1125	-13.2	-114.1	-15.1	10.1
-20	1801	995.4	46.82	-345	-69.3	276	-1.957	-1.243	-0.1041	-13.5	-111.8	-15.8	9.1
-15	2083	975.2	54.47	-335	-69.2	266	-2.011	-1.318	-0.0965	-13.9	-109.6	-16.5	8.1
-10	2397	953.9	63.21	-325	-69.5	255	-2.079	-1.402	-0.0896	-14.3	-107.4	-17.3	7.2
-5	2744	931.4	73.26	-315	-70.3	244	-2.166	-1.5	-0.0833	-14.7	-105.2	-18.2	6.3
0	3127	907.4	84.86	-304	-71.7	232	-2.274	-1.618	-0.0774	-15.2	103	-19.1	5.4
5	3547	881.6	98.41	-293	-73.7	219	-2.412	-1.769	-0.072	-15.7	100.9	-20.2	4.5
10	4007	853.5	114.5	-281	-76.6	204	-2.592	-1.982	-0.0668	-16.3	98.8	-21.4	3.7
15	4510	822.2	133.9	-269	-80.6	188	-2.834	-2.322	-0.0619	-16.9			2.9
20	5060	786.6	158.1	-255	-86.2	169	-3.188	-2.967	-0.057	-17.7			2.1
25	5660	743.9	190	-241	-94.4	147	-3.781	-4.493	-0.052	-18.7			1.4
30	6315	688	236.7	-224	-108	117	-5.143	-9.718	-0.0465	-20.1			0.7
35	7033	589.4	330.4	-203	-138	64.9							0.1
36.42	7251	452	452	-200	-200	0							0
